,0
1778,swan_3_m
1779,swan_4_m
1780,swan_5_m
1781,swan_6_m
1782,swan_7_m
1783,swan_8_m
1784,swan_9_m
1785,swan_10_m
1786,swan_11_m
1787,swan_12_m
1788,swan_13_m
1789,swan_14_m
1790,swan_15_m
1791,swan_16_m
1792,swan_17_m
1793,swan_18_m
1794,sci_p_1_m
1795,sci_p_2_m
1796,sci_p_3_m
1797,sci_p_4_m
1798,sci_p_5_m
1799,sci_p_6_m
1800,sci_p_7_m
1801,sci_p_8_m
1802,sci_p_9_m
1803,sci_p_10_m
1804,sci_p_11_m
1805,sci_p_12_m
1806,sci_p_13_m
1807,sci_p_14_m
1808,sci_p_15_m
1809,age_cshq_m
1810,bedtime_1_m
1811,bedtime_2_m
1812,bedtime_3_m
1813,bedtime_4_m
1814,bedtime_5_m
1815,bedtime_6_m
1816,bedtime_7_m
1817,bedtime_8_m
1818,bedtime_9_m
1819,bedtime_10_m
1820,duration_1_m
1821,duration_2_m
1822,duration_3_m
1823,duration_4_m
1824,duration_5_m
1825,duration_6_m
1826,duration_7_m
1827,duration_8_m
1828,duration_9_m
1829,duration_10_m
1830,duration_11_m
1831,duration_12_m
1832,duration_13_m
1833,duration_14_m
1834,duration_15_m
1835,night_wake_1_m
1836,night_wake_2_m
1837,night_wake_3_m
1838,day_wake_1_m
1839,day_wake_2_m
1840,day_wake_3_m
1841,day_wake_4_m
1842,day_wake_5_m
1843,day_wake_6_m
1844,sleepiness_1_m
1845,sleepiness_2_m
1846,daytime_sleepiness_3_m
1847,sdq_1_parents_m
1848,sdq_2_parents_m
1849,sdq_3_parents_m
1850,sdq_4_parents_m
1851,sdq_5_parents_m
1852,sdq_6_parents_m
1853,sdq_7_parents_m
1854,sdq_8_parents_m
1855,sdq_9_parents_m
1856,sdq_10_parents_m
1857,sdq_11_parents_m
1858,sdq_12_parents_m
1859,sdq_13_parents_m
1860,sdq_14_parents_m
1861,sdq_15_parents_m
1862,sdq_16_parents_m
1863,sdq_17_parents_m
1864,sdq_18_parents_m
1865,sdq_19_parents_m
1866,sdq_20_parents_m
1867,sdq_21_parents_m
1868,sdq_22_parents_m
1869,sdq_23_parents_m
1870,sdq_24_parents_m
1871,sdq_25_parents_m
1872,sdq_26_parents_m
1873,sdq_27_parents_m
1874,sdq_28_parents_m
1875,sdq_29_parents_1_m
1876,sdq_29_parents_2_m
1877,sdq_29_parents_3_m
1878,sdq_29_parents_4_m
1879,sdq_30_parents_m
1880,dass_1_m
1881,dass_2_m
1882,dass_3_m
1883,dass_4_m
1884,dass_5_m
1885,dass_6_m
1886,dass_7_m
1887,dass_8_m
1888,dass_9_m
1889,dass_10_m
1890,dass_11_m
1891,dass_12_m
1892,dass_13_m
1893,dass_14_m
1894,dass_15_m
1895,dass_16_m
1896,dass_17_m
1897,dass_18_m
1898,dass_19_m
1899,dass_20_m
1900,dass_21_m
1901,ders_1_p_m
1902,ders_2_p_m
1903,ders_3_p_m
1904,ders_4_p_m
1905,ders_5_p_m
1906,ders_6_p_m
1907,ders_7_p_m
1908,ders_8_p_m
1909,ders_9_p_m
1910,ders_10_p_m
1911,ders_11_p_m
1912,ders_12_p_m
1913,ders_13_p_m
1914,ders_14_p_m
1915,ders_15_p_m
1916,ders_16_p_m
1917,ders_17_p_m
1918,ders_18_p_m
1919,ders_19_p_m
1920,ders_20_p_m
1921,ders_21_p_m
1922,ders_22_p_m
1923,ders_23_p_m
1924,ders_24_p_m
1925,ders_25_p_m
1926,ders_26_p_m
1927,ders_27_p_m
1928,ders_28_p_m
1929,ders_29_p_m
1930,ders_30_p_m
1931,ders_31_p_m
1932,ders_32_p_m
1933,ders_33_p_m
1934,ders_34_p_m
1935,ders_35_p_m
1936,ders_36_p_m
1937,erq_1_m
1938,erq_2_m
1939,erq_3_m
1940,erq_4_m
1941,erq_5_m
1942,erq_6_m
1943,erq_7_m
1944,erq_8_m
1945,erq_9_m
1946,erq_10_m
1947,ari_p_1_m
1948,ari_p_2_m
1949,ari_p_3_m
1950,ari_p_4_m
1951,ari_p_5_m
1952,ari_p_6_m
1953,ari_p_7_m
1954,pps_1_m
1955,pps_2_m
1956,ecr_1_m
1957,ecr_2_m
1958,ecr_3_m
1959,ecr_4_m
1960,ecr_5_m
1961,ecr_6_m
1962,ecr_7_m
1963,ecr_8_m
1964,ecr_9_m
1965,ecr_10_m
1966,ecr_11_m
1967,ecr_12_m
1968,ecr_13_m
1969,ecr_14_m
1970,ecr_15_m
1971,ecr_16_m
1972,ecr_17_m
1973,ecr_18_m
1974,ecr_19_m
1975,ecr_20_m
1976,ecr_21_m
1977,ecr_22_m
1978,ecr_23_m
1979,ecr_24_m
1980,ecr_25_m
1981,ecr_26_m
1982,ecr_27_m
1983,ecr_28_m
1984,ecr_29_m
1985,ecr_30_m
1986,ecr_31_m
1987,ecr_32_m
1988,ecr_33_m
1989,ecr_34_m
1990,ecr_35_m
1991,ecr_36_m
1992,cts_p_1_m
1993,cts_p_2_m
1994,cts_p_3_m
1995,cts_p_4_m
1996,cts_p_4_1_m
1997,therapy_child_2_m
1998,ending_childparent_m
1999,who_fills_out_f
2000,who_fills_out_2_f
2001,parents_who_f
2002,parent_who_other_f
2003,parents_age_f
2004,parents_born_f
2005,parents_born_2_f
2006,born_child_f
2007,born_child_2_f
2008,parent_religion_f
2009,parent_religion_other_f
2010,parents_economy_f
2011,parents_education_f
2012,parents_education_other_f
2013,parents_work_f
2014,paresnts_work_2_f
2015,together_live_f
2016,with_who_other_f
2017,swan_1_f
2018,swan_2_f
2019,swan_3_f
2020,swan_4_f
2021,swan_5_f
2022,swan_6_f
2023,swan_7_f
2024,swan_8_f
2025,swan_9_f
2026,swan_10_f
2027,swan_11_f
2028,swan_12_f
2029,swan_13_f
2030,swan_14_f
2031,swan_15_f
2032,swan_16_f
2033,swan_17_f
2034,swan_18_f
2035,sci_p_1_f
2036,sci_p_2_f
2037,sci_p_3_f
2038,sci_p_4_f
2039,sci_p_5_f
2040,sci_p_6_f
2041,sci_p_7_f
2042,sci_p_8_f
2043,sci_p_9_f
2044,sci_p_10_f
2045,sci_p_11_f
2046,sci_p_12_f
2047,sci_p_13_f
2048,sci_p_14_f
2049,sci_p_15_f
2050,age_cshq_f
2051,bedtime_1_f
2052,bedtime_2_f
2053,bedtime_3_f
2054,bedtime_4_f
2055,bedtime_5_f
2056,bedtime_6_f
2057,bedtime_7_f
2058,bedtime_8_f
2059,bedtime_9_f
2060,bedtime_10_f
2061,duration_1_f
2062,duration_2_f
2063,duration_3_f
2064,duration_4_f
2065,duration_5_f
2066,duration_6_f
2067,duration_7_f
2068,duration_8_f
2069,duration_9_f
2070,duration_10_f
2071,duration_11_f
2072,duration_12_f
2073,duration_13_f
2074,duration_14_f
2075,duration_15_f
2076,night_wake_1_f
2077,night_wake_2_f
2078,night_wake_3_f
2079,day_wake_1_f
2080,day_wake_2_f
2081,day_wake_3_f
2082,day_wake_4_f
2083,day_wake_5_f
2084,day_wake_6_f
2085,sleepiness_1_f
2086,sleepiness_2_f
2087,daytime_sleepiness_3_f
2088,sdq_1_parents_f
2089,sdq_2_parents_f
2090,sdq_3_parents_f
2091,sdq_4_parents_f
2092,sdq_5_parents_f
2093,sdq_6_parents_f
2094,sdq_7_parents_f
2095,sdq_8_parents_f
2096,sdq_9_parents_f
2097,sdq_10_parents_f
2098,sdq_11_parents_f
2099,sdq_12_parents_f
2100,sdq_13_parents_f
2101,sdq_14_parents_f
2102,sdq_15_parents_f
2103,sdq_16_parents_f
2104,sdq_17_parents_f
2105,sdq_18_parents_f
2106,sdq_19_parents_f
2107,sdq_20_parents_f
2108,sdq_21_parents_f
2109,sdq_22_parents_f
2110,sdq_23_parents_f
2111,sdq_24_parents_f
2112,sdq_25_parents_f
2113,sdq_26_parents_f
2114,sdq_27_parents_f
2115,sdq_28_parents_f
2116,sdq_29_parents_1_f
2117,sdq_29_parents_2_f
2118,sdq_29_parents_3_f
2119,sdq_29_parents_4_f
2120,sdq_30_parents_f
2121,dass_1_f
2122,dass_2_f
2123,dass_3_f
2124,dass_4_f
2125,dass_5_f
2126,dass_6_f
2127,dass_7_f
2128,dass_8_f
2129,dass_9_f
2130,dass_10_f
2131,dass_11_f
2132,dass_12_f
2133,dass_13_f
2134,dass_14_f
2135,dass_15_f
2136,dass_16_f
2137,dass_17_f
2138,dass_18_f
2139,dass_19_f
2140,dass_20_f
2141,dass_21_f
2142,ders_1_p_f
2143,ders_2_p_f
2144,ders_3_p_f
2145,ders_4_p_f
2146,ders_5_p_f
2147,ders_6_p_f
2148,ders_7_p_f
2149,ders_8_p_f
2150,ders_9_p_f
2151,ders_10_p_f
2152,ders_11_p_f
2153,ders_12_p_f
2154,ders_13_p_f
2155,ders_14_p_f
2156,ders_15_p_f
2157,ders_16_p_f
2158,ders_17_p_f
2159,ders_18_p_f
2160,ders_19_p_f
2161,ders_20_p_f
2162,ders_21_p_f
2163,ders_22_p_f
2164,ders_23_p_f
2165,ders_24_p_f
2166,ders_25_p_f
2167,ders_26_p_f
2168,ders_27_p_f
2169,ders_28_p_f
2170,ders_29_p_f
2171,ders_30_p_f
2172,ders_31_p_f
2173,ders_32_p_f
2174,ders_33_p_f
2175,ders_34_p_f
2176,ders_35_p_f
2177,ders_36_p_f
2178,erq_1_f
2179,erq_2_f
2180,erq_3_f
2181,erq_4_f
2182,erq_5_f
2183,erq_6_f
2184,erq_7_f
2185,erq_8_f
2186,erq_9_f
2187,erq_10_f
2188,ari_p_1_f
2189,ari_p_2_f
2190,ari_p_3_f
2191,ari_p_4_f
2192,ari_p_5_f
2193,ari_p_6_f
2194,ari_p_7_f
2195,pps_1_f
2196,pps_2_f
2197,ecr_1_f
2198,ecr_2_f
2199,ecr_3_f
2200,ecr_4_f
2201,ecr_5_f
2202,ecr_6_f
2203,ecr_7_f
2204,ecr_8_f
2205,ecr_9_f
2206,ecr_10_f
2207,ecr_11_f
2208,ecr_12_f
2209,ecr_13_f
2210,ecr_14_f
2211,ecr_15_f
2212,ecr_16_f
2213,ecr_17_f
2214,ecr_18_f
2215,ecr_19_f
2216,ecr_20_f
2217,ecr_21_f
2218,ecr_22_f
2219,ecr_23_f
2220,ecr_24_f
2221,ecr_25_f
2222,ecr_26_f
2223,ecr_27_f
2224,ecr_28_f
2225,ecr_29_f
2226,ecr_30_f
2227,ecr_31_f
2228,ecr_32_f
2229,ecr_33_f
2230,ecr_34_f
2231,ecr_35_f
2232,ecr_36_f
2233,cts_p_1_f
2234,cts_p_2_f
2235,cts_p_3_f
2236,cts_p_4_f
2237,cts_p_4_1_f
2238,therapy_child_2_f
2239,ending_childparent_f
2240,who_clin
2241,who_other_clin
2242,name_clin
2243,wai_t_immi_1_clin
2244,wai_t_immi_2_clin
2245,wai_t_immi_3_clin
2246,wai_t_immi_4_clin
2247,wai_t_immi_5_clin
2248,wai_t_immi_6_clin
2249,wai_t_immi_7_clin
2250,wai_t_immi_8_clin
2251,wai_t_immi_9_clin
2252,wai_t_immi_10_clin
2253,wai_t_immi_11_clin
2254,wai_t_immi_12_clin
2255,maris_y_scars_1_clin
2256,maris_y_scars_2_clin
2257,maris_y_scars_3_clin
2258,maris_y_scars_4_clin
2259,maris_y_scars_5_clin
2260,maris_y_scars_6_clin
2261,maris_y_scars_7_clin
2262,maris_y_scars_8_clin
2263,trq_sf_maris_1_clin
2264,trq_sf_maris_2_clin
2265,trq_sf_maris_3_clin
2266,trq_sf_maris_4_clin
2267,trq_sf_maris_5_clin
2268,trq_sf_maris_6_clin
2269,trq_sf_maris_7_clin
2270,trq_sf_maris_8_clin
2271,trq_sf_maris_9_clin
2272,trq_sf_maris_10_clin
2273,trq_sf_maris_11_clin
2274,trq_sf_maris_12_clin
2275,trq_sf_maris_13_clin
2276,trq_sf_maris_14_clin
2277,cgi_s_base_clin
2278,time_clin
2279,parents_safety_plan_clin
2280,safety_plan_clin
2281,safety_plan_changed_clin
2282,cgi_s_clin
2283,cgi_i_clin
2284,wai_t_1_clin
2285,wai_t_2_clin
2286,wai_t_3_clin
2287,wai_t_4_clin
2288,wai_t_5_clin
2289,wai_t_6_clin
2290,wai_t_7_clin
2291,wai_t_8_clin
2292,wai_t_9_clin
2293,wai_t_10_clin
2294,wai_t_11_clin
2295,wai_t_12_clin
2296,remote_1_clin
2297,cps_1_clin
2298,cps_2_clin
2300,er_name_clin
2301,er_id_clin
2302,er_arrival_clin
2303,er_reason_clin
2304,er_attemp_time_clin
2305,er_planned_clin
2306,er_regret_clin
2307,er_cut_first_clin
2308,er_thoughts_clin
2309,er_worst_thoughts_clin
2310,er_thoughts_now_clin
2311,er_medicine_clin
2312,er_medicine_what_clin
2313,er_medicine_mg_clin
2314,sci_c_1_1_clin
2315,scs_2_1_clin
2316,scs_2_2_clin
2317,scs_2_3_clin
2318,scs_2_4_clin
2319,sci_c_3_1_clin
2320,sci_c_3_2_clin
2321,sci_c_3_3_clin
2322,sci_c_3_4_clin
2323,sci_c_4_1_clin
2324,sci_c_4_2_clin
2325,sci_c_4_3_clin
2326,sci_c_4_4_clin
2327,sci_c_5_1_clin
2328,sci_c_5_2_clin
2329,cdrs_impaired_schoolwork_clin
2330,cdrs_difficulty_having_fun_clin
2331,sdrs_social_withdrawal_clin
2332,cdrs_sleep_disturbance_clin
2333,cdrs_sleep_disturbance_2_clin
2334,cdrs_appetite_disturbance_clin
2335,cdrs_appetite_disturbance_2_clin
2336,cdrs_excessive_fatigue_clin
2337,cdrs_physical_complaints_clin
2338,sdrs_irritability_clin
2339,cdrs_excessive_guilt_clin
2340,cdrs_low_self_esteem_clin
2341,cdrs_depressed_feelings_clin
2342,cdrs_morbid_ideation_clin
2343,cdrs_suicidal_ideation_clin
2344,cdrs_excessive_weeping_clin
2345,cdrs_depressed_facial_affect_clin
2346,cdrs_listless_speech_clin
2347,cdrs_hypoactivity_clin
2348,cdrs_sum_clin
2351,suiciform_time_clin
2352,medhis_1_clin
2353,medhis_1_1_clin
2354,medhis_2_clin
2355,medhis_2_1_clin
2356,medhis_3_clin
2357,medhis_3_1_clin
2358,medhis_4_clin
2359,medhis_4_1_clin
2360,medhis_5_clin
2361,medhis_5_1_clin
2362,medhis_6_clin
2363,medhis_6_1_clin
2364,medhis_7_clin
2365,medhis_7_1_clin
2366,medhis_8_clin
2367,medhis_8_1_clin
2368,medhis_9_clin
2369,medhis_9_1_clin
2370,medhis_10_clin
2371,medhis_10_1_clin
2372,medhis_11_clin
2373,medhis_11_1_clin
2374,medhis_12_clin
2375,medhis_12_1_clin
2376,medhis_13_clin
2377,medhis_13_1_clin
2378,medhis_details_clin
2379,diet_1_clin
2380,diet_1_1_clin
2381,diet_2_clin
2382,diet_2_1_clin
2383,diet_3_clin
2384,diet_3_1_clin
2385,diet_4_clin
2386,diet_4_1_clin
2387,diet_5_clin
2388,diet_5_1_clin
2389,medhis_clin
2390,inclusion_1_clin
2391,inclusion_2_clin
2392,exclusion_1_clin
2393,exclusion_2_clin
2394,exclusion_3_clin
2395,exclusion_4_clin
2396,exclusion_5_clin
2397,exclusion_6_clin
2398,week_1_clin
2399,week_1_1_clin
2400,week_2_clin
2401,week_2_1_clin
2402,week_3_clin
2403,week_medic_clin
2404,three_mon_1_clin
2405,three_mon_1_1_clin
2406,three_mon_2_clin
2407,three_mon_2_1_clin
2408,three_mon_3_clin
2409,three_mon_medic_clin
2410,six_mon_1_clin
2411,six_mon_1_1_clin
2412,six_mon_2_clin
2413,six_mon_2_1_clin
2414,six_mon_3_clin
2415,six_mon_medic_clin
2416,twelve_mon_1_clin
2417,twelve_mon_1_1_clin
2418,twelve_mon_2_clin
2419,twelve_mon_2_1_clin
2420,twelve_mon_3_clin
2421,twelve_mon_medic_clin
2422,mini_class_clin
2423,mini_interviewer_clin
2424,mini_medication_clin___1
2425,mini_medication_clin___2
2426,mini_medication_clin___3
2427,mini_medication_clin___4
2428,mini_medication_clin___5
2429,mini_medicine_other_clin
2430,mini_start_time_clin
2431,mini_end_time_clin
2432,mini_total_time_clin
2433,depres_clin___1
2434,depres_clin___2
2435,depres_clin___3
2436,suicide_clin___1
2437,suicide_clin___2
2438,suicide_risk_clin
2439,dysthemia_clin___1
2440,manic_clin___1
2441,manic_clin___2
2442,hypomania_clin___1
2443,hypomania_clin___2
2444,bipolar_i_clin___1
2445,bipolar_i_clin___2
2446,bipolar_ii_clin___1
2447,bipolar_ii_clin___2
2448,bipolar_unclassified_clin___1
2449,bipolar_unclassified_clin___2
2450,panic_clin___1
2451,panic_clin___2
2452,agoraphobia_clin___1
2453,separation_anxiety_clin___1
2454,social_anxiety_clin___1
2455,social_anxiety_clin___2
2456,social_anxiety_clin___3
2457,phobia_clin___1
2458,ocd_clin___1
2459,ptsd_clin___1
2460,alcohol_depend_clin___1
2461,alcohol_use_clin___1
2462,drug_depend_clin___1
2463,drug_use_clin___1
2464,tourette_clin___1
2465,motor_tics_clin___1
2466,vocal_tics_clin___1
2467,transient_tics_clin___1
2468,adhd_mix_clin___1
2469,adhd_attention_clin___1
2470,adhd_hyper_clin___1
2471,conduct_clin___1
2472,odd_clin___1
2473,psychotic_clin___1
2474,psychotic_clin___2
2475,affect_psychotic_clin___1
2476,affect_psychotic_clin___2
2477,anorexia_clin___1
2478,bulimia_clin___1
2479,anorexia_bulmus_clin___1
2480,gad_clin___1
2481,adjustment_clin___1
2482,organic_clin
2483,development_clin___1
2484,main_dianose_clin
2485,c_ssrs_t_time_clin
2486,c_ssrs_t_2weeks_1_clin
2487,c_ssrs_t_2weeks_2_clin
2488,c_ssrs_t_2weeks_3_clin
2489,c_ssrs_t_2weeks_4_clin
2490,c_ssrs_t_2weeks_5_clin
2491,c_ssrs_t_last_1_clin
2492,c_ssrs_t_last_2_clin
2493,c_ssrs_t_last_3_clin
2494,c_ssrs_t_last_4_clin
2495,c_ssrs_t_last_5_clin
2496,c_ssrs_t_life_1_clin
2497,c_ssrs_t_life_2_clin
2498,c_ssrs_t_life_3_clin
2499,c_ssrs_t_life_4_clin
2500,c_ssrs_t_life_5_clin
2501,c_ssrs_t_6_clin
2502,c_ssrs_t_7_clin
2503,c_ssrs_t_8_clin
2504,c_ssrs_t_9_clin
2505,c_ssrs_t_10_clin
2511,c_ssrs_t_11_2weeks_clin
2512,c_ssrs_t_12_2weeks_clin
2513,c_ssrs_t_13_2weeks_clin
2514,c_ssrs_t_14_2weeks_clin
2515,c_ssrs_t_15_2weeks_clin
2516,c_ssrs_t_16_2weeks_clin
2517,suicidal_behavior_last_11_clin
2518,suicidal_behavior_last_12_clin
2519,suicidal_behavior_last_13_clin
2520,suicidal_behavior_last_14_clin
2521,suicidal_behavior_last_15_clin
2522,suicidal_behavior_last_16_clin
2529,c_ssrs_t_11_life_clin
2530,c_ssrs_t_12_life_clin
2531,c_ssrs_t_13_life_clin
2532,c_ssrs_t_14_life_clin
2533,c_ssrs_t_15_life_clin
2534,c_ssrs_t_16_life_clin
2541,who_stu
2542,who_other_stu
2543,name_stu
2544,trq_sf_maris_1_stu
2545,trq_sf_maris_2_stu
2546,trq_sf_maris_3_stu
2547,trq_sf_maris_4_stu
2548,trq_sf_maris_5_stu
2549,trq_sf_maris_6_stu
2550,trq_sf_maris_7_stu
2551,trq_sf_maris_8_stu
2552,trq_sf_maris_9_stu
2553,trq_sf_maris_10_stu
2554,trq_sf_maris_11_stu
2555,trq_sf_maris_12_stu
2556,trq_sf_maris_13_stu
