,0
603,night_wake_2_m
604,night_wake_3_m
605,day_wake_1_m
606,day_wake_2_m
607,day_wake_3_m
608,day_wake_4_m
609,day_wake_5_m
610,day_wake_6_m
611,sleepiness_1_m
612,sleepiness_2_m
613,daytime_sleepiness_3_m
614,cshq_m_complete
615,sdq_parents_m_timestamp
616,sdq_1_parents_m
617,sdq_2_parents_m
618,sdq_3_parents_m
619,sdq_4_parents_m
620,sdq_5_parents_m
621,sdq_6_parents_m
622,sdq_7_parents_m
623,sdq_8_parents_m
624,sdq_9_parents_m
625,sdq_10_parents_m
626,sdq_11_parents_m
627,sdq_12_parents_m
628,sdq_13_parents_m
629,sdq_14_parents_m
630,sdq_15_parents_m
631,sdq_16_parents_m
632,sdq_17_parents_m
633,sdq_18_parents_m
634,sdq_19_parents_m
635,sdq_20_parents_m
636,sdq_21_parents_m
637,sdq_22_parents_m
638,sdq_23_parents_m
639,sdq_24_parents_m
640,sdq_25_parents_m
641,sdq_26_parents_m
642,sdq_27_parents_m
643,sdq_28_parents_m
644,sdq_29_parents_1_m
645,sdq_29_parents_2_m
646,sdq_29_parents_3_m
647,sdq_29_parents_4_m
648,sdq_30_parents_m
649,sdq_parents_m_complete
650,dass_m_timestamp
651,dass_1_m
652,dass_2_m
653,dass_3_m
654,dass_4_m
655,dass_5_m
656,dass_6_m
657,dass_7_m
658,dass_8_m
659,dass_9_m
660,dass_10_m
661,dass_11_m
662,dass_12_m
663,dass_13_m
664,dass_14_m
665,dass_15_m
666,dass_16_m
667,dass_17_m
668,dass_18_m
669,dass_19_m
670,dass_20_m
671,dass_21_m
672,dass_m_complete
673,ders_p_m_timestamp
674,ders_1_p_m
675,ders_2_p_m
676,ders_3_p_m
677,ders_4_p_m
678,ders_5_p_m
679,ders_6_p_m
680,ders_7_p_m
681,ders_8_p_m
682,ders_9_p_m
683,ders_10_p_m
684,ders_11_p_m
685,ders_12_p_m
686,ders_13_p_m
687,ders_14_p_m
688,ders_15_p_m
689,ders_16_p_m
690,ders_17_p_m
691,ders_18_p_m
692,ders_19_p_m
693,ders_20_p_m
694,ders_21_p_m
695,ders_22_p_m
696,ders_23_p_m
697,ders_24_p_m
698,ders_25_p_m
699,ders_26_p_m
700,ders_27_p_m
701,ders_28_p_m
702,ders_29_p_m
703,ders_30_p_m
704,ders_31_p_m
705,ders_32_p_m
706,ders_33_p_m
707,ders_34_p_m
708,ders_35_p_m
709,ders_36_p_m
710,ders_p_m_complete
711,erq_m_timestamp
712,erq_1_m
713,erq_2_m
714,erq_3_m
715,erq_4_m
716,erq_5_m
717,erq_6_m
718,erq_7_m
719,erq_8_m
720,erq_9_m
721,erq_10_m
722,erq_m_complete
723,arippps_m_timestamp
724,ari_p_1_m
725,ari_p_2_m
726,ari_p_3_m
727,ari_p_4_m
728,ari_p_5_m
729,ari_p_6_m
730,ari_p_7_m
731,pps_1_m
732,pps_2_m
733,arippps_m_complete
734,ecr_m_timestamp
735,ecr_1_m
736,ecr_2_m
737,ecr_3_m
738,ecr_4_m
739,ecr_5_m
740,ecr_6_m
741,ecr_7_m
742,ecr_8_m
743,ecr_9_m
744,ecr_10_m
745,ecr_11_m
746,ecr_12_m
747,ecr_13_m
748,ecr_14_m
749,ecr_15_m
750,ecr_16_m
751,ecr_17_m
752,ecr_18_m
753,ecr_19_m
754,ecr_20_m
755,ecr_21_m
756,ecr_22_m
757,ecr_23_m
758,ecr_24_m
759,ecr_25_m
760,ecr_26_m
761,ecr_27_m
762,ecr_28_m
763,ecr_29_m
764,ecr_30_m
765,ecr_31_m
766,ecr_32_m
767,ecr_33_m
768,ecr_34_m
769,ecr_35_m
770,ecr_36_m
771,ecr_m_complete
772,cts_m_timestamp
773,cts_p_1_m
774,cts_p_2_m
775,cts_p_3_m
776,cts_p_4_m
777,cts_p_4_1_m
778,cts_m_complete
779,ending_parent_m_timestamp
780,therapy_child_2_m
781,ending_childparent_m
782,ending_parent_m_complete
783,opening_parents_f_timestamp
784,who_fills_out_f
785,who_fills_out_2_f
786,opening_parents_f_complete
787,demographic_parents_f_timestamp
788,parents_who_f
789,parent_who_other_f
790,parents_age_f
791,parents_born_f
792,parents_born_2_f
793,born_child_f
794,born_child_2_f
795,parent_religion_f
796,parent_religion_other_f
797,parents_economy_f
798,parents_education_f
799,parents_education_other_f
800,parents_work_f
801,paresnts_work_2_f
802,together_live_f
803,with_who_f___1
804,with_who_f___2
805,with_who_f___3
806,with_who_f___4
807,with_who_f___5
808,with_who_f___6
809,with_who_f___7
810,with_who_other_f
811,demographic_parents_f_complete
812,swan_f_timestamp
813,swan_1_f
814,swan_2_f
815,swan_3_f
816,swan_4_f
817,swan_5_f
818,swan_6_f
819,swan_7_f
820,swan_8_f
821,swan_9_f
822,swan_10_f
823,swan_11_f
824,swan_12_f
825,swan_13_f
826,swan_14_f
827,swan_15_f
828,swan_16_f
829,swan_17_f
830,swan_18_f
831,swan_f_complete
832,scip_f_timestamp
833,sci_p_1_f
834,sci_p_2_f
835,sci_p_3_f
836,sci_p_4_f
837,sci_p_5_f
838,sci_p_6_f
839,sci_p_7_f
840,sci_p_8_f
841,sci_p_9_f
842,sci_p_10_f
843,sci_p_11_f
844,sci_p_12_f
845,sci_p_13_f
846,sci_p_14_f
847,sci_p_15_f
848,scip_f_complete
849,cshq_f_timestamp
850,age_cshq_f
851,bedtime_1_f
852,bedtime_2_f
853,bedtime_3_f
854,bedtime_4_f
855,bedtime_5_f
856,bedtime_6_f
857,bedtime_7_f
858,bedtime_8_f
859,bedtime_9_f
860,bedtime_10_f
861,duration_1_f
862,duration_2_f
863,duration_3_f
864,duration_4_f
865,duration_5_f
866,duration_6_f
867,duration_7_f
868,duration_8_f
869,duration_9_f
870,duration_10_f
871,duration_11_f
872,duration_12_f
873,duration_13_f
874,duration_14_f
875,duration_15_f
876,night_wake_1_f
877,night_wake_2_f
878,night_wake_3_f
879,day_wake_1_f
880,day_wake_2_f
881,day_wake_3_f
882,day_wake_4_f
883,day_wake_5_f
884,day_wake_6_f
885,sleepiness_1_f
886,sleepiness_2_f
887,daytime_sleepiness_3_f
888,cshq_f_complete
889,sdq_parents_f_timestamp
890,sdq_1_parents_f
891,sdq_2_parents_f
892,sdq_3_parents_f
893,sdq_4_parents_f
894,sdq_5_parents_f
895,sdq_6_parents_f
896,sdq_7_parents_f
897,sdq_8_parents_f
898,sdq_9_parents_f
899,sdq_10_parents_f
900,sdq_11_parents_f
901,sdq_12_parents_f
902,sdq_13_parents_f
903,sdq_14_parents_f
904,sdq_15_parents_f
905,sdq_16_parents_f
906,sdq_17_parents_f
907,sdq_18_parents_f
908,sdq_19_parents_f
909,sdq_20_parents_f
910,sdq_21_parents_f
911,sdq_22_parents_f
912,sdq_23_parents_f
913,sdq_24_parents_f
914,sdq_25_parents_f
915,sdq_26_parents_f
916,sdq_27_parents_f
917,sdq_28_parents_f
918,sdq_29_parents_1_f
919,sdq_29_parents_2_f
920,sdq_29_parents_3_f
921,sdq_29_parents_4_f
922,sdq_30_parents_f
923,sdq_parents_f_complete
924,dass_f_timestamp
925,dass_1_f
926,dass_2_f
927,dass_3_f
928,dass_4_f
929,dass_5_f
930,dass_6_f
931,dass_7_f
932,dass_8_f
933,dass_9_f
934,dass_10_f
935,dass_11_f
936,dass_12_f
937,dass_13_f
938,dass_14_f
939,dass_15_f
940,dass_16_f
941,dass_17_f
942,dass_18_f
943,dass_19_f
944,dass_20_f
945,dass_21_f
946,dass_f_complete
947,ders_p_f_timestamp
948,ders_1_p_f
949,ders_2_p_f
950,ders_3_p_f
951,ders_4_p_f
952,ders_5_p_f
953,ders_6_p_f
954,ders_7_p_f
955,ders_8_p_f
956,ders_9_p_f
957,ders_10_p_f
958,ders_11_p_f
959,ders_12_p_f
960,ders_13_p_f
961,ders_14_p_f
962,ders_15_p_f
963,ders_16_p_f
964,ders_17_p_f
965,ders_18_p_f
966,ders_19_p_f
967,ders_20_p_f
968,ders_21_p_f
969,ders_22_p_f
970,ders_23_p_f
971,ders_24_p_f
972,ders_25_p_f
973,ders_26_p_f
974,ders_27_p_f
975,ders_28_p_f
976,ders_29_p_f
977,ders_30_p_f
978,ders_31_p_f
979,ders_32_p_f
980,ders_33_p_f
981,ders_34_p_f
982,ders_35_p_f
983,ders_36_p_f
984,ders_p_f_complete
985,erq_f_timestamp
986,erq_1_f
987,erq_2_f
988,erq_3_f
989,erq_4_f
990,erq_5_f
991,erq_6_f
992,erq_7_f
993,erq_8_f
994,erq_9_f
995,erq_10_f
996,erq_f_complete
997,arippps_f_timestamp
998,ari_p_1_f
999,ari_p_2_f
1000,ari_p_3_f
1001,ari_p_4_f
1002,ari_p_5_f
1003,ari_p_6_f
1004,ari_p_7_f
1005,pps_1_f
1006,pps_2_f
1007,arippps_f_complete
1008,ecr_f_timestamp
1009,ecr_1_f
1010,ecr_2_f
1011,ecr_3_f
1012,ecr_4_f
1013,ecr_5_f
1014,ecr_6_f
1015,ecr_7_f
1016,ecr_8_f
1017,ecr_9_f
1018,ecr_10_f
1019,ecr_11_f
1020,ecr_12_f
1021,ecr_13_f
1022,ecr_14_f
1023,ecr_15_f
1024,ecr_16_f
1025,ecr_17_f
1026,ecr_18_f
1027,ecr_19_f
1028,ecr_20_f
1029,ecr_21_f
1030,ecr_22_f
1031,ecr_23_f
1032,ecr_24_f
1033,ecr_25_f
1034,ecr_26_f
1035,ecr_27_f
1036,ecr_28_f
1037,ecr_29_f
1038,ecr_30_f
1039,ecr_31_f
1040,ecr_32_f
1041,ecr_33_f
1042,ecr_34_f
1043,ecr_35_f
1044,ecr_36_f
1045,ecr_f_complete
1046,cts_f_timestamp
1047,cts_p_1_f
1048,cts_p_2_f
1049,cts_p_3_f
1050,cts_p_4_f
1051,cts_p_4_1_f
1052,cts_f_complete
1053,ending_parent_f_timestamp
1054,therapy_child_2_f
1055,ending_childparent_f
1056,ending_parent_f_complete
1057,opening_clinicians_timestamp
1058,who_clin
1059,who_other_clin
1060,name_clin
1061,opening_clinicians_complete
1062,wai_immirisk_clin_timestamp
1063,wai_t_immi_1_clin
1064,wai_t_immi_2_clin
1065,wai_t_immi_3_clin
1066,wai_t_immi_4_clin
1067,wai_t_immi_5_clin
1068,wai_t_immi_6_clin
1069,wai_t_immi_7_clin
1070,wai_t_immi_8_clin
1071,wai_t_immi_9_clin
1072,wai_t_immi_10_clin
1073,wai_t_immi_11_clin
1074,wai_t_immi_12_clin
1075,wai_immirisk_clin_complete
1076,marisyscars_clin_timestamp
1077,maris_y_scars_1_clin
1078,maris_y_scars_2_clin
1079,maris_y_scars_3_clin
1080,maris_y_scars_4_clin
1081,maris_y_scars_5_clin
1082,maris_y_scars_6_clin
1083,maris_y_scars_7_clin
1084,maris_y_scars_8_clin
1085,marisyscars_clin_complete
1086,trqsfmarisclin_timestamp
1087,trq_sf_maris_1_clin
1088,trq_sf_maris_2_clin
1089,trq_sf_maris_3_clin
1090,trq_sf_maris_4_clin
1091,trq_sf_maris_5_clin
1092,trq_sf_maris_6_clin
1093,trq_sf_maris_7_clin
1094,trq_sf_maris_8_clin
1095,trq_sf_maris_9_clin
1096,trq_sf_maris_10_clin
1097,trq_sf_maris_11_clin
1098,trq_sf_maris_12_clin
1099,trq_sf_maris_13_clin
1100,trq_sf_maris_14_clin
1101,trqsfmarisclin_complete
1102,cgi_s_clin_timestamp
1103,cgi_s_base_clin
1104,cgi_s_clin_complete
1105,opening_therapist_battery_timestamp
1106,time_clin
1107,parents_safety_plan_clin
1108,safety_plan_clin
1109,safety_plan_changed_clin
1110,cgi_s_clin
1111,cgi_i_clin
1112,wai_t_1_clin
1113,wai_t_2_clin
1114,wai_t_3_clin
1115,wai_t_4_clin
1116,wai_t_5_clin
1117,wai_t_6_clin
1118,wai_t_7_clin
1119,wai_t_8_clin
1120,wai_t_9_clin
1121,wai_t_10_clin
1122,wai_t_11_clin
1123,wai_t_12_clin
1124,opening_therapist_battery_complete
1125,remote_clin_timestamp
1126,remote_1_clin
1127,remote_clin_complete
1128,cps_clin_timestamp
1129,cps_1_clin
1130,cps_2_clin
1131,cps_clin_complete
1132,er_questionnaire_clin_timestamp
1133,er_name_clin
1134,er_date_of_birth_clin
1135,er_id_clin
1136,er_arrival_clin
1137,er_reason_clin
1138,er_attemp_time_clin
1139,er_planned_clin
1140,er_regret_clin
1141,er_cut_first_clin
1142,er_thoughts_clin
1143,er_worst_thoughts_clin
1144,er_thoughts_now_clin
1145,er_medicine_clin
1146,er_medicine_what_clin
1147,er_medicine_mg_clin
1148,er_questionnaire_clin_complete
1149,sci_c_clin_timestamp
1150,sci_c_1_1_clin
1151,scs_2_1_clin
1152,scs_2_2_clin
1153,scs_2_3_clin
1154,scs_2_4_clin
1155,sci_c_3_1_clin
1156,sci_c_3_2_clin
1157,sci_c_3_3_clin
1158,sci_c_3_4_clin
1159,sci_c_4_1_clin
1160,sci_c_4_2_clin
1161,sci_c_4_3_clin
1162,sci_c_4_4_clin
1163,sci_c_5_1_clin
1164,sci_c_5_2_clin
1165,sci_c_clin_complete
1166,cdrsr_clin_timestamp
1167,cdrs_impaired_schoolwork_clin
1168,cdrs_difficulty_having_fun_clin
1169,sdrs_social_withdrawal_clin
1170,cdrs_sleep_disturbance_clin
1171,cdrs_sleep_disturbance_2_clin
1172,cdrs_appetite_disturbance_clin
1173,cdrs_appetite_disturbance_2_clin
1174,cdrs_excessive_fatigue_clin
1175,cdrs_physical_complaints_clin
1176,sdrs_irritability_clin
1177,cdrs_excessive_guilt_clin
1178,cdrs_low_self_esteem_clin
1179,cdrs_depressed_feelings_clin
1180,cdrs_morbid_ideation_clin
1181,cdrs_suicidal_ideation_clin
1182,cdrs_excessive_weeping_clin
1183,cdrs_depressed_facial_affect_clin
1184,cdrs_listless_speech_clin
1185,cdrs_hypoactivity_clin
1186,cdrs_sum_clin
1187,cdrsr_clin_complete
1188,suicide_form_clin_timestamp
1189,suiciform_time_clin
1190,medhis_1_clin
1191,medhis_1_1_clin
1192,medhis_2_clin
1193,medhis_2_1_clin
1194,medhis_3_clin
1195,medhis_3_1_clin
1196,medhis_4_clin
1197,medhis_4_1_clin
1198,medhis_5_clin
1199,medhis_5_1_clin
1200,medhis_6_clin
1201,medhis_6_1_clin
1202,medhis_7_clin
1203,medhis_7_1_clin
1204,medhis_8_clin
1205,medhis_8_1_clin
1206,medhis_9_clin
1207,medhis_9_1_clin
1208,medhis_10_clin
1209,medhis_10_1_clin
1210,medhis_11_clin
1211,medhis_11_1_clin
1212,medhis_12_clin
1213,medhis_12_1_clin
1214,medhis_13_clin
1215,medhis_13_1_clin
1216,medhis_details_clin
1217,diet_1_clin
1218,diet_1_1_clin
1219,diet_2_clin
1220,diet_2_1_clin
1221,diet_3_clin
1222,diet_3_1_clin
1223,diet_4_clin
1224,diet_4_1_clin
1225,diet_5_clin
1226,diet_5_1_clin
1227,medhis_clin
1228,inclusion_1_clin
1229,inclusion_2_clin
1230,exclusion_1_clin
1231,exclusion_2_clin
1232,exclusion_3_clin
1233,exclusion_4_clin
1234,exclusion_5_clin
1235,exclusion_6_clin
1236,week_1_clin
1237,week_1_1_clin
1238,week_2_clin
1239,week_2_1_clin
1240,week_3_clin
1241,week_medic_clin
1242,three_mon_1_clin
1243,three_mon_1_1_clin
1244,three_mon_2_clin
1245,three_mon_2_1_clin
1246,three_mon_3_clin
1247,three_mon_medic_clin
1248,six_mon_1_clin
1249,six_mon_1_1_clin
1250,six_mon_2_clin
1251,six_mon_2_1_clin
1252,six_mon_3_clin
1253,six_mon_medic_clin
1254,twelve_mon_1_clin
1255,twelve_mon_1_1_clin
1256,twelve_mon_2_clin
1257,twelve_mon_2_1_clin
1258,twelve_mon_3_clin
1259,twelve_mon_medic_clin
1260,suicide_form_clin_complete
1261,mini_kid_sum_clin_timestamp
1262,mini_class_clin
1263,mini_date_clin
1264,mini_interviewer_clin
1265,mini_date_interview_clin
1266,mini_medication_clin___1
1267,mini_medication_clin___2
1268,mini_medication_clin___3
1269,mini_medication_clin___4
1270,mini_medication_clin___5
1271,mini_medicine_other_clin
1272,mini_start_time_clin
1273,mini_end_time_clin
1274,mini_total_time_clin
1275,depres_clin___1
1276,depres_clin___2
1277,depres_clin___3
1278,suicide_clin___1
1279,suicide_clin___2
1280,suicide_risk_clin
1281,dysthemia_clin___1
1282,manic_clin___1
1283,manic_clin___2
1284,hypomania_clin___1
1285,hypomania_clin___2
1286,bipolar_i_clin___1
1287,bipolar_i_clin___2
1288,bipolar_ii_clin___1
1289,bipolar_ii_clin___2
1290,bipolar_unclassified_clin___1
1291,bipolar_unclassified_clin___2
1292,panic_clin___1
